City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
137,kundiawa,-6.0167,144.9667,290.04,98,99,1.12,PG,2024-02-02
138,kingston,17.997,-76.7936,302.13,69,40,2.57,JM,2024-02-02
139,keflavik,64.0049,-22.5624,271.1,86,75,22.12,IS,2024-02-02
140,port lincoln,-34.7333,135.8667,291.21,88,0,2.83,AU,2024-02-02
141,touros,-5.1989,-35.4608,302.58,66,12,7.14,BR,2024-02-02
142,nabire,-3.3667,135.4833,297.93,93,100,0.75,ID,2024-02-02
143,tamanrasset,22.785,5.5228,288.1,14,0,2.06,DZ,2024-02-02
144,nema,57.5067,50.5011,269.27,96,100,3.73,RU,2024-02-02
145,chateaubelair,13.2833,-61.25,300.44,78,40,2.57,VC,2024-02-02
146,mosjoen,65.836,13.1908,275.21,93,100,4.63,NO,2024-02-02
147,dudinka,69.4058,86.1778,259.64,93,100,10.73,RU,2024-02-02
148,whitehorse,60.7161,-135.0538,249.58,64,20,2.06,CA,2024-02-02
149,prince george,53.9166,-122.753,280.84,85,0,5.66,CA,2024-02-02
150,hermanus,-34.4187,19.2345,296.22,79,0,2.98,ZA,2024-02-02
151,avarua,-21.2078,-159.775,301.18,89,100,1.03,CK,2024-02-02
152,apac,1.9756,32.5386,299.51,47,100,0.89,UG,2024-02-02
153,walvis bay,-22.9575,14.5053,293.68,83,100,0.0,NA,2024-02-02
154,tarko-sale,64.9225,77.785,259.69,92,100,5.49,RU,2024-02-02
155,kwang binh,17.4833,106.6,294.63,95,5,2.74,VN,2024-02-02
156,fort mcmurray,56.7268,-111.381,272.92,93,100,2.57,CA,2024-02-02
157,bamboo flat,11.7,92.7167,299.2,89,20,1.03,IN,2024-02-02
158,thurso,58.5927,-3.5259,284.29,78,88,15.37,GB,2024-02-02
159,yangchun,22.1667,111.7833,293.56,92,100,0.89,CN,2024-02-02
160,pitimbu,-7.4706,-34.8086,304.48,69,100,6.39,BR,2024-02-02
161,mpraeso,6.5932,-0.7346,300.83,25,3,1.25,GH,2024-02-02
162,dunedin,-45.8742,170.5036,284.71,72,63,0.89,NZ,2024-02-02
163,jackson,42.4165,-122.8345,282.25,79,40,1.54,US,2024-02-02
164,great falls,47.5002,-111.3008,285.75,50,100,0.0,US,2024-02-02
165,valparaiso,-33.0393,-71.6273,311.01,35,17,9.26,CL,2024-02-02
166,kayangel,8.0823,134.7173,300.51,78,90,9.59,PW,2024-02-02
167,stanley,54.868,-1.6985,284.92,86,75,9.77,GB,2024-02-02
168,beruniy,41.6911,60.7525,270.13,93,0,2.06,UZ,2024-02-02
169,tarinkot,32.6268,65.8733,280.08,87,100,1.24,AF,2024-02-02
170,uturoa,-16.7333,-151.4333,300.89,78,99,4.86,PF,2024-02-02
171,monrovia,6.3005,-10.7969,302.02,82,15,4.9,LR,2024-02-02
172,port-vila,-17.7338,168.3219,300.93,89,75,1.54,VU,2024-02-02
173,grants,35.1473,-107.8514,277.28,65,100,6.17,US,2024-02-02
174,enewetak,11.3474,162.3373,299.56,83,100,10.86,MH,2024-02-02
175,hithadhoo,-0.6,73.0833,301.75,75,29,4.95,MV,2024-02-02
176,noumea,-22.2763,166.4572,299.14,86,69,2.44,NC,2024-02-02
177,east london,-33.0153,27.9116,297.75,82,100,9.65,ZA,2024-02-02
178,wailua homesteads,22.0669,-159.378,295.39,73,20,7.72,US,2024-02-02
179,holualoa,19.6228,-155.9522,293.06,98,100,5.66,US,2024-02-02
180,pozo del molle,-32.0186,-62.9198,312.83,12,0,5.16,AR,2024-02-02
181,timbuktu,16.7735,-3.0074,296.65,10,100,5.49,ML,2024-02-02
182,noosa heads,-26.3833,153.15,296.12,81,5,1.16,AU,2024-02-02
183,isafjordur,66.0755,-23.124,268.42,69,89,5.47,IS,2024-02-02
184,sittwe,20.15,92.9,293.53,67,0,3.93,MM,2024-02-02
185,kodiak,57.79,-152.4072,261.88,79,0,3.6,US,2024-02-02
186,yinchuan,38.4681,106.2731,270.85,87,98,1.82,CN,2024-02-02
187,west island,-12.1568,96.8225,300.14,89,40,1.54,CC,2024-02-02
188,sao vicente,-23.9631,-46.3919,299.25,94,40,2.06,BR,2024-02-02
189,pierre,44.3683,-100.351,274.74,97,100,9.39,US,2024-02-02
190,ketchikan,55.3422,-131.6461,274.14,80,40,3.6,US,2024-02-02
191,hawaiian paradise park,19.5933,-154.9731,296.5,87,100,5.66,US,2024-02-02
192,chichihualco,17.6833,-99.65,301.65,36,16,0.42,MX,2024-02-02
193,cabo san lucas,22.8909,-109.9124,300.16,57,0,7.2,MX,2024-02-02
194,juneau,58.3019,-134.4197,266.71,97,100,0.0,US,2024-02-02
195,ciudad constitucion,25.0369,-111.6644,296.44,45,0,8.49,MX,2024-02-02
196,mount pearl,47.5166,-52.7813,272.57,82,100,4.12,CA,2024-02-02
197,anadyr,64.75,177.4833,258.43,51,100,10.0,RU,2024-02-02
198,ad-damazin,11.7891,34.3592,299.85,15,100,5.79,SD,2024-02-02
199,mersa matruh,31.3525,27.2453,285.26,71,40,5.14,EG,2024-02-02
200,nahrin,36.0649,69.1334,277.33,54,95,4.93,AF,2024-02-02
201,pisco,-13.7,-76.2167,302.18,58,0,8.75,PE,2024-02-02
202,shahrak,34.1074,64.3052,269.49,94,70,3.62,AF,2024-02-02
203,taoudenni,22.6783,-3.9836,295.14,14,57,4.97,ML,2024-02-02
204,hasaki,35.7333,140.8333,274.37,52,29,6.47,JP,2024-02-02
205,thunder bay,48.4001,-89.3168,272.14,69,0,3.09,CA,2024-02-02
206,bandarbeyla,9.4942,50.8122,297.57,79,100,3.85,SO,2024-02-02
207,badger,64.8,-147.5333,230.08,62,0,0.0,US,2024-02-02
208,delijan,33.9905,50.6838,271.22,80,94,2.26,IR,2024-02-02
209,darwin,-12.4611,130.8418,301.14,86,75,7.72,AU,2024-02-02
210,uliastay,47.7417,96.8444,254.58,63,98,3.55,MN,2024-02-02
211,dalhart,36.0595,-102.5133,285.65,82,75,3.6,US,2024-02-02
212,weno,7.4515,151.8468,301.12,89,100,5.14,FM,2024-02-02
213,kievka,50.2619,71.5514,261.97,94,100,7.54,KZ,2024-02-02
214,talcahuano,-36.7167,-73.1167,297.97,57,20,8.75,CL,2024-02-02
215,guerrero negro,27.9769,-114.0611,291.73,54,1,6.54,MX,2024-02-02
216,poronaysk,49.2167,143.1167,250.81,92,10,2.37,RU,2024-02-02
217,novodvinsk,64.4165,40.8122,268.01,100,94,0.7,RU,2024-02-02
218,arraial do cabo,-22.9661,-42.0278,301.13,83,75,5.14,BR,2024-02-02
219,labytnangi,66.6572,66.4183,258.04,98,100,2.47,RU,2024-02-02
220,puerto deseado,-47.7503,-65.8938,300.73,25,66,16.49,AR,2024-02-02
221,port saint john's,-31.6229,29.5448,297.56,83,97,7.73,ZA,2024-02-02
222,ambalangoda,6.2355,80.0538,298.48,86,97,1.95,LK,2024-02-02
223,kapa'a,22.0752,-159.319,296.14,73,20,7.72,US,2024-02-02
224,sarh,9.1429,18.3923,301.67,16,0,1.94,TD,2024-02-02
225,tommot,58.9564,126.2925,245.16,100,100,1.09,RU,2024-02-02
226,cabedelo,-6.9811,-34.8339,304.52,68,100,6.78,BR,2024-02-02
227,bukama,-9.2,25.85,293.93,98,100,0.65,CD,2024-02-02
228,shitanjing,39.2342,106.3439,267.83,97,79,1.83,CN,2024-02-02
229,zeya,53.75,127.2667,245.09,97,20,1.15,RU,2024-02-02
230,severnoye,56.3491,78.3619,263.75,94,100,4.1,RU,2024-02-02
231,callao,-12.0667,-77.15,301.31,61,75,5.66,PE,2024-02-02
232,dili,-8.5586,125.5736,299.88,78,98,1.77,TL,2024-02-02
233,mujiayingzi,42.1167,118.7833,260.54,67,100,1.21,CN,2024-02-02
234,jalai nur,49.45,117.7,240.98,99,21,1.04,CN,2024-02-02
235,kijang,35.2442,129.2139,278.0,74,98,3.87,KR,2024-02-02
236,nemuro,43.3236,145.575,263.7,66,94,11.43,JP,2024-02-02
237,anloga,5.7947,0.8973,301.34,79,31,5.19,GH,2024-02-02
238,vikulovo,56.8167,70.6107,246.9,100,100,1.8,RU,2024-02-02
239,praia da vitoria,38.7333,-27.0667,290.79,94,75,3.62,PT,2024-02-02
240,sitka,57.0531,-135.33,271.09,93,40,4.12,US,2024-02-02
241,fort bragg,35.139,-79.006,293.23,44,0,4.63,US,2024-02-02
242,aghajari,30.7006,49.8315,285.0,57,8,2.61,IR,2024-02-02
243,mao,39.8885,4.2658,283.46,87,0,3.09,ES,2024-02-02
244,tucuma,-0.1833,-50.05,299.68,89,100,1.84,BR,2024-02-02
245,nova vicosa,-17.8919,-39.3719,301.22,71,100,3.72,BR,2024-02-02
246,flying fish cove,-10.4217,105.6791,298.97,88,75,2.06,CX,2024-02-02
247,ponta delgada,37.7333,-25.6667,291.59,82,20,5.14,PT,2024-02-02
248,pimentel,-6.8367,-79.9342,304.31,51,0,7.72,PE,2024-02-02
249,lebu,-37.6167,-73.65,293.17,80,41,5.13,CL,2024-02-02
250,belmonte,-15.8631,-38.8828,301.47,67,96,3.63,BR,2024-02-02
251,prince edward,44.0001,-77.2495,277.01,74,32,2.68,CA,2024-02-02
252,buncrana,55.1333,-7.45,286.02,88,100,9.61,IE,2024-02-02
253,jutai,-5.1833,-68.9,301.36,79,97,1.8,BR,2024-02-02
254,arteche,12.2645,125.4048,298.22,89,97,3.18,PH,2024-02-02
255,akureyri,65.6835,-18.0878,272.11,47,75,10.29,IS,2024-02-02
256,agat village,13.3886,144.6585,299.21,80,0,5.66,GU,2024-02-02
257,camp verde,34.5636,-111.8543,283.13,72,86,5.97,US,2024-02-02
258,alamosa,37.4695,-105.87,275.14,93,100,9.26,US,2024-02-02
259,tazovsky,67.4667,78.7,262.03,91,100,6.36,RU,2024-02-02
260,gadzhiyevo,69.2551,33.3362,260.21,95,28,4.93,RU,2024-02-02
261,rundu,-17.9333,19.7667,295.01,77,72,0.96,NA,2024-02-02
262,valdivia,-39.8142,-73.2459,296.46,58,24,3.43,CL,2024-02-02
263,korocha,50.8107,37.1953,272.55,91,9,5.94,RU,2024-02-02
264,baise city,23.8997,106.6133,295.01,99,5,0.73,CN,2024-02-02
265,victoria,22.2855,114.1577,293.68,93,100,6.71,HK,2024-02-02
266,armacao de buzios,-22.7469,-41.8817,302.18,84,100,3.52,BR,2024-02-02
267,kaifeng,34.7911,114.3483,268.79,83,100,3.85,CN,2024-02-02
268,oxford,51.7522,-1.256,285.23,89,75,6.69,GB,2024-02-02
269,sovetskoye,52.2861,85.4131,264.64,95,100,0.94,RU,2024-02-02
270,wewak,-3.5534,143.6268,298.64,88,100,3.18,PG,2024-02-02
271,westport,41.1415,-73.3579,279.66,81,100,4.63,US,2024-02-02
272,talnakh,69.4865,88.3972,258.82,91,100,7.33,RU,2024-02-02
273,sheringham,52.9408,1.2093,285.22,76,100,9.56,GB,2024-02-02
274,stawell,-37.05,142.7667,285.76,61,0,0.15,AU,2024-02-02
275,mossel bay,-34.1831,22.146,294.11,79,100,2.27,ZA,2024-02-02
276,port elizabeth,-33.918,25.5701,295.43,95,75,4.12,ZA,2024-02-02
277,lata,40.1629,-8.3327,285.66,80,59,1.17,PT,2024-02-02
278,padang,-0.9492,100.3543,299.18,90,100,0.91,ID,2024-02-02
279,vernon,50.2581,-119.2691,281.27,93,99,0.51,CA,2024-02-02
280,kencong,-8.2833,113.3667,298.75,90,100,1.58,ID,2024-02-02
281,qaqortoq,60.7167,-46.0333,257.31,77,99,0.31,GL,2024-02-02
282,angra do heroismo,38.65,-27.2167,290.99,91,75,1.79,PT,2024-02-02
283,cannonvale,-20.2833,148.7,299.81,76,100,1.54,AU,2024-02-02
284,abu dhabi,24.4667,54.3667,293.21,56,0,5.66,AE,2024-02-02
285,garachico,28.7781,-17.7646,292.86,64,0,3.09,ES,2024-02-02
286,terme,41.2092,36.9739,280.11,82,100,2.02,TR,2024-02-02
287,pangody,65.85,74.4859,259.57,92,100,5.99,RU,2024-02-02
288,ocean city,39.2776,-74.5746,279.29,89,100,3.13,US,2024-02-02
289,borovskoy,53.8,64.15,261.93,96,100,3.8,KZ,2024-02-02
290,kpandae,8.4689,-0.0113,305.75,16,0,1.96,GH,2024-02-02
291,okhotsk,59.3833,143.3,249.3,79,72,5.71,RU,2024-02-02
292,kristinestad,62.2743,21.376,272.09,98,100,7.92,FI,2024-02-02
293,ilha de mocambique,-15.0342,40.7358,300.51,82,11,5.21,MZ,2024-02-02
294,codrington,-38.2667,141.9667,282.58,88,1,2.19,AU,2024-02-02
295,misratah,32.3754,15.0925,288.34,66,1,6.72,LY,2024-02-02
296,tazacorte,28.629,-17.9293,294.34,44,0,3.09,ES,2024-02-02
297,tshabong,-26.05,22.45,302.22,26,78,3.5,BW,2024-02-02
298,tolanaro,-25.0319,46.9987,296.19,88,100,3.09,MG,2024-02-02
299,zyrya,40.3661,50.2917,275.2,72,7,2.12,AZ,2024-02-02
300,selfoss,63.9331,-20.9971,269.84,72,100,18.03,IS,2024-02-02
301,ain el bya,35.8039,-0.3018,286.42,78,0,5.15,DZ,2024-02-02
302,ravar,31.2656,56.8055,280.83,37,0,1.82,IR,2024-02-02
303,nytva,57.9404,55.334,265.09,95,100,3.69,RU,2024-02-02
304,lautoka,-17.6167,177.4667,299.07,89,40,2.57,FJ,2024-02-02
305,kawasaki,35.5206,139.7172,279.27,42,75,7.72,JP,2024-02-02
306,klyuchi,52.2667,79.1667,262.9,94,100,5.48,RU,2024-02-02
307,carnarvon,-24.8667,113.6333,297.43,84,8,3.71,AU,2024-02-02
308,yoichi,43.2039,140.7703,268.18,82,100,8.25,JP,2024-02-02
309,hinatuan,8.3722,126.3342,297.66,89,44,2.09,PH,2024-02-02
310,jhajjar,28.6063,76.6565,284.33,40,18,3.49,IN,2024-02-02
311,porangatu,-13.4408,-49.1486,300.22,78,78,1.02,BR,2024-02-02
312,ciudad lazaro cardenas,17.9583,-102.2,301.18,63,0,3.91,MX,2024-02-02
313,tabas,33.5959,56.9244,276.27,70,18,1.03,IR,2024-02-02
314,itamaraca,-7.7478,-34.8256,303.18,69,100,5.78,BR,2024-02-02
315,malango,-2.9627,119.9001,292.69,96,100,1.19,ID,2024-02-02
316,bairnsdale,-37.8333,147.6167,283.62,84,0,1.18,AU,2024-02-02
317,beni saf,35.301,-1.3823,286.31,79,0,3.96,DZ,2024-02-02
318,goondiwindi,-28.55,150.3167,297.89,62,0,4.8,AU,2024-02-02
319,patan,27.6667,85.3333,280.36,81,20,0.0,NP,2024-02-02
320,zhezqazghan,47.7833,67.7667,261.47,92,100,8.0,KZ,2024-02-02
321,ulladulla,-35.35,150.4667,291.49,77,92,1.82,AU,2024-02-02
322,huangmei,30.1924,116.025,275.64,89,100,3.42,CN,2024-02-02
323,usakos,-22.0,15.6,300.25,55,100,3.57,NA,2024-02-02
324,kamaishi,39.2667,141.8833,272.09,53,3,4.0,JP,2024-02-02
325,wuchang,44.9143,127.15,243.27,100,81,0.91,CN,2024-02-02
326,kidal,18.4411,1.4078,293.43,11,58,4.85,ML,2024-02-02
327,behbahan,30.5959,50.2417,282.84,68,7,3.49,IR,2024-02-02
328,tadine,-21.55,167.8833,299.62,87,100,5.57,NC,2024-02-02
329,manaquiri,-3.3167,-60.35,304.42,76,100,1.74,BR,2024-02-02
330,seven pagodas,12.6264,80.1722,300.18,74,100,4.66,IN,2024-02-02
331,palmerston,-12.486,130.9833,301.14,86,75,7.72,AU,2024-02-02
332,zdvinsk,54.7021,78.661,263.42,95,100,4.74,RU,2024-02-02
333,hamilton,39.1834,-84.5333,282.54,65,100,6.71,US,2024-02-02
334,geraldton,-28.7667,114.6,294.38,83,5,2.57,AU,2024-02-02
335,isla vista,34.4133,-119.861,290.34,67,40,5.14,US,2024-02-02
336,kaa-khem,51.6833,94.7333,245.6,94,98,0.81,RU,2024-02-02
337,skierniewice,51.9548,20.1584,277.63,93,100,7.82,PL,2024-02-02
338,cidreira,-30.1811,-50.2056,297.94,68,0,7.1,BR,2024-02-02
339,constantia,44.1833,28.65,276.53,70,51,4.31,RO,2024-02-02
340,masina,-4.3836,15.3914,299.11,78,57,0.52,CD,2024-02-02
341,zhongshu,24.5167,103.7667,281.86,74,0,3.05,CN,2024-02-02
342,ocana,8.2377,-73.356,297.62,69,94,1.91,CO,2024-02-02
343,villa gesell,-37.2639,-56.973,306.51,36,100,9.71,AR,2024-02-02
344,margate,51.3813,1.3862,283.08,90,86,4.02,GB,2024-02-02
345,mayya,61.7333,130.2811,237.77,100,100,0.95,RU,2024-02-02
346,mareeba,-17.0,145.4333,297.84,93,100,0.47,AU,2024-02-02
347,wellington,-41.2866,174.7756,290.36,69,0,5.66,NZ,2024-02-02
